rank,id,title,chinese_label,authors,year,venue,doi,questions,relevance,limitations,pages,sha256,source_url,final_url,pdf,language
1,en01,Sensor Placement and Selection for Bearing Sensors with Bounded Uncertainty,有界测角误差下的传感器布置与选择,Pratap Tokekar; Volkan Isler,2013,IEEE ICRA,10.1109/ICRA.2013.6630920,问题1、2,直接研究有界测角误差、扇形交集，以及交集直径和面积的最坏情形；是建立保证型定位区域的首选参考。,研究传感器静态布置和选择；还需改造成单机器人依次移动观测，不包含清除动作。,6,f12a5e11d694a85353b019835d6ef2de810a4124f094c16318257f877468d6ca,https://tokekar.com/pubs/tokekar2013asensor.pdf,https://tokekar.com/pubs/tokekar2013asensor.pdf,论文全文/01_有界测角误差下的传感器布置与选择.pdf,英文
2,en06,Characterizing the Worst-Case Position Error in Bearing-Only Target Localization,纯方位定位的最坏位置误差界,Mohammad Reza Gholami; Sinan Gezici; Henk Wymeersch; Erik G. Ström; Magnus Jansson,2015,"Workshop on Positioning, Navigation and Communication (WPNC)",,问题1,有界角误差产生多面体可行域，利用顶点和外包椭球刻画位置误差上界；有助于区别点估计误差、区域直径和包围区域。,针对给定观测的误差界；上界与最小包围圆不是同一个对象，不能直接把结论替换成题目的圆覆盖判断。,6,e7aa8896372388d94635a68e75980f466d0d013c3d2068d4c186aa20581da7d9,https://publications.lib.chalmers.se/records/fulltext/218784/local_218784.pdf,https://publications.lib.chalmers.se/records/fulltext/218784/local_218784.pdf,论文全文/02_纯方位定位的最坏位置误差界.pdf,英文
3,en02,Cautious Greedy Strategy for Bearing-only Active Localization: Analysis and Field Experiments,兼顾移动与测量耗时的谨慎贪心主动定位,Joshua Vander Hook; Pratap Tokekar; Volkan Isler,2014,Journal of Field Robotics,10.1002/rob.21499,问题2、3,机器人主动选择测向位置，并把移动时间与测量时间共同计入定位代价；与题目的总虚拟时间目标非常接近。,采用概率噪声，并处理特定天线的方位歧义；其滤波和性能保证不能直接移植到有界且同位置固定误差的题设。,23,ec7976a4129b8df2b03eac3916345a68f2f4c3778f971382cad410d05b1338bc,https://josh.vanderhook.info/media/pdf/JoshV_JFR_2013_Localization.pdf,https://josh.vanderhook.info/media/pdf/JoshV_JFR_2013_Localization.pdf,论文全文/03_兼顾移动与测量耗时的谨慎贪心主动定位.pdf,英文
4,zh01,卫星导航干扰源无人机定位观测路径规划方法,卫星导航干扰源无人机定位观测路径规划方法,姚胤博; 许睿; 徐悦; 刘睿; 陈奇东,2024,"全球定位系统, 49(6):72–83",10.12265/j.gnss.2024097,问题2、3,单无人机、未知干扰源位置、二维测向、顺序增加观测点；比较多种DOP指标及定步长、不定步长等规划方法，是最值得先读的中文论文。,含高斯噪声、测角设备盲区和自身定位误差等设定；DOP好不等于题目总耗时最少，也不自动给出最坏误差保证。,13,83e1d70e37a682aff8001ac60b2105eee2e6acfff74f43b45ab87e364a3b6544,http://www.qqdwxt.cn/cn/article/pdf/preview/10.12265/j.gnss.2024097.pdf,http://www.qqdwxt.cn/cn/article/pdf/preview/10.12265/j.gnss.2024097.pdf,论文全文/04_卫星导航干扰源无人机定位观测路径规划方法.pdf,中文
5,en04,Active localization of multiple targets using noisy relative measurements,带噪相对观测下的多目标主动定位,Selim Engin; Volkan Isler,2020,arXiv:2002.09850；作者项目页对应 WAFR 2020 工作,,问题2、3,以单机器人移动尽快降低多个目标的位置不确定性，使用贝叶斯直方图表示和学习式规划，可参考多目标联合观测收益的设计。,全文版本标题使用 using，项目页标题使用 from；只计一篇。模型假定已知噪声模型且观测与目标正确关联，不解决本题未知源数的完整停止证明。,8,30eb9fe97a353525814c7728379f14688f91b29bbde9951abcc7ddbdece6ed62,https://arxiv.org/pdf/2002.09850,https://arxiv.org/pdf/2002.09850,论文全文/05_带噪相对观测下的多目标主动定位.pdf,英文
6,zh02,存在系统误差下交叉定位系统最优交会角研究,存在系统误差下交叉定位系统最优交会角研究,盛丹; 王国宏; 孙殿星,2016,"系统工程与电子技术, 38(7):1516–1523",10.3969/j.issn.1001-506X.2016.07.06,问题1、2,分析系统误差、测角精度和不同误差准则对最优交会角的影响，适合检查第二观测点的选择依据。,测量误差为非零均值高斯分布；题目只给误差界。期刊网页日期字段有异常，本索引依据PDF确认2016年。,8,7c33026eee3b5394a36608e8c4a6038693996710dce9fcce0362a890e3ba3638,https://www.sys-ele.com/CN/article/downloadArticleFile.do?attachType=PDF&id=2264,https://www.sys-ele.com/CN/article/downloadArticleFile.do?attachType=PDF&id=2264,论文全文/06_存在系统误差下交叉定位系统最优交会角研究.pdf,中文
7,zh15,测向交叉定位系统中的最优交会角研究,测向交叉定位系统中的最优交会角研究,白晶; 王国宏; 王娜; 徐海全,2009,"航空学报, 30(2):298–304",,问题1、2,研究双站交会几何与定位精度，说明最优角依赖基线、目标位置及优化指标，有助于避免无条件认定90度最优。,主要采用圆概率误差准则，和有界误差交集直径不同；PDF为扫描型，已通过首页渲染核实标题。,7,54859e166ad7f5244c2a3e1b13dd43a9fea6842a882321396fd4bc305c9600ce,https://hkxb.buaa.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8781,https://hkxb.buaa.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8781,论文全文/07_测向交叉定位系统中的最优交会角研究.pdf,中文
8,zh03,测向交叉定位体制下平台航迹最优规划算法,测向交叉定位体制下平台航迹最优规划算法,张志虎; 赵佳旻; 刘梅,2018,"指挥控制与仿真, 40(4):45–51",10.3969/j.issn.1673-3819.2018.04.010,问题2、3,围绕单站可观测性及克拉美罗下界的迹设计观测平台轨迹，可用于理解为什么需要改变观测方向。,含跟踪问题及特定转弯限制，目标函数是估计精度；本题还要加入测量、换频道、清除的时间成本。,7,1bb0b6431c49e820a568ba901f87eac1da50df3e095e1caa84d544cb702c76b8,https://www.zhkzyfz.cn/CN/PDF/10.3969/j.issn.1673-3819.2018.04.010,https://www.zhkzyfz.cn/CN/PDF/10.3969/j.issn.1673-3819.2018.04.010,论文全文/08_测向交叉定位体制下平台航迹最优规划算法.pdf,中文
9,en03,Simultaneous Localization of Multiple Unknown and Transient Radio Sources Using a Mobile Robot,单机器人同时定位多个未知瞬态无线电源,Dezhen Song; Chang-Young Kim; Jingang Yi,2012,"IEEE Transactions on Robotics, 28(3):668–680",10.1109/TRO.2012.2183069,问题3、4,直接涉及单机器人、未知多个无线电源、在线搜索与定位；时空概率占据栅格和沿高概率区域运动的思路值得参考。,观测涉及RSS和瞬态发射，源身份关联比本题更复杂；本题有固定频道标识且不提供RSS，不能照搬其似然模型。,13,81f1cf28de8139f24ee5e78981a6dab7dd88777970918350761fca147af73c0a,https://coewww.rutgers.edu/~jgyi/pdfs/IEEE_TRO_2012.pdf,https://coewww.rutgers.edu/~jgyi/pdfs/IEEE_TRO_2012.pdf,论文全文/09_单机器人同时定位多个未知瞬态无线电源.pdf,英文
10,zh09,多站交叉定位相对GDOP及其测向站分布问题研究,多站交叉定位相对GDOP及其测向站分布问题研究,罗双喜,2020,"指挥控制与仿真, 42(2):7–11",10.3969/j.issn.1673-3819.2020.02.002,问题1、2,将相对几何稀释度推广到多站，分析最优值和布站条件；可帮助评估多次观测的几何质量。,部分分析以站点到目标距离已知为条件；实际机器人只能使用由观测推断的距离或可行域。,5,fbdd50ab4820a1678dcfeb7049b66ac0b9f7ed503a2f63f3fe8b2b548d170dd1,https://www.zhkzyfz.cn/CN/PDF/10.3969/j.issn.1673-3819.2020.02.002,https://www.zhkzyfz.cn/CN/PDF/10.3969/j.issn.1673-3819.2020.02.002,论文全文/10_多站交叉定位相对GDOP及其测向站分布问题研究.pdf,中文
